@relation dataset

@attribute urban_degree {0, 1, 2}
@attribute house_rooms real
@attribute housing_tenure {0, 1, 2, 3}
@attribute family_members real
@attribute equivalent_income real
@attribute invoices_overdue {0, 1}
@attribute afford_holidays {0, 1}
@attribute afford_meal {0, 1}
@attribute afford_unexpected {0, 1}
@attribute have_phone {0, 1}
@attribute have_tv {0, 1}
@attribute have_computer {0, 1}
@attribute have_washer {0, 1}
@attribute have_car {0, 1}
@attribute have_shower {0, 1}
@attribute have_wc {0, 1}
@attribute problem_light {0, 1}
@attribute problem_noise {0, 1}
@attribute problem_pollution {0, 1}
@attribute problem_vandal {0, 1}
@attribute problem_leaks {0, 1}
@attribute afford_heating {0, 1}


@data
0,3.0,1,3.0,18407.0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
0,3.0,1,4.0,12289.44,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
0,4.0,0,2.0,5761.33,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1
0,3.0,1,3.0,13264.45,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0
0,3.0,1,1.0,10952.0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1
1,6.0,1,1.0,9182.1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1
1,5.0,1,4.0,8423.12,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1
1,6.0,1,2.0,20198.13,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,1,1.0,8985.1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
1,5.0,1,2.0,8071.09,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
1,6.0,1,1.0,9820.3,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
1,6.0,0,4.0,20530.86,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6.0,1,2.0,9774.93,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0
1,4.0,0,3.0,14147.72,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,1,1.0,9928.0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1
1,4.0,0,4.0,8156.48,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1
1,4.0,3,4.0,9532.99,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
1,5.0,1,1.0,14081.8,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,3,4.0,15010.0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
1,6.0,1,2.0,24752.27,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
